frame_index,icon_c0_r0,icon_c0_r1,icon_c0_r2,icon_c1_r0,icon_c1_r1,icon_c1_r2,icon_c2_r0,icon_c2_r1,icon_c2_r2,icon_c3_r0,icon_c3_r1,icon_c3_r2,icon_c4_r0,icon_c4_r1,icon_c4_r2
270,7,7,7,7,0,0,0,0,3,4,4,4,5,5,6
271,2,2,2,7,0,0,5,1,1,4,4,4,7,7,3
272,7,7,7,5,0,0,5,5,5,1,1,2,4,4,4
273,5,5,5,2,5,5,1,1,1,2,2,4,3,3,3
274,2,2,7,0,0,0,0,0,2,2,5,5,2,2,2
275,2,2,7,6,6,4,0,0,3,4,4,6,4,4,4
276,5,5,6,7,0,0,5,5,1,2,5,5,2,2,0
277,4,4,1,3,3,3,4,6,6,0,0,0,4,4,6
278,4,4,2,1,1,7,6,6,5,1,3,3,0,0,0
279,2,7,7,0,0,0,3,3,7,3,3,3,4,6,6
280,3,3,0,5,5,6,5,5,0,7,3,3,0,0,1
281,0,0,5,5,5,6,2,4,4,2,5,5,4,6,6
282,6,6,6,0,0,2,5,5,5,0,1,1,3,3,3
283,0,0,3,6,1,1,3,3,3,4,4,4,5,5,5
284,5,5,5,3,6,6,5,0,0,4,6,6,6,1,1
285,2,2,7,3,3,3,5,5,5,1,2,2,6,6,2
286,5,6,6,2,2,5,2,2,4,4,4,4,0,5,5
287,7,7,7,3,3,3,4,5,5,7,7,3,7,7,3
288,0,5,5,6,6,6,0,0,0,1,1,3,7,3,3
289,6,6,6,5,0,0,4,5,5,7,3,3,4,4,3
290,2,2,2,5,5,5,0,2,2,1,3,3,2,2,4
291,1,1,1,5,5,6,7,0,0,1,1,2,4,4,6
292,1,1,3,7,0,0,1,1,1,0,2,2,1,7,7
293,2,2,2,3,3,3,6,6,6,2,2,5,1,1,7
294,6,6,4,0,3,3,3,3,7,2,4,4,0,0,0
295,0,5,5,2,2,2,2,2,2,6,6,1,3,3,3
296,7,0,0,2,2,5,4,5,5,2,4,4,5,6,6
297,4,4,1,0,0,0,4,4,4,4,4,6,2,0,0
298,7,7,7,7,0,0,3,7,7,0,1,1,0,1,1
299,7,7,7,2,2,2,3,3,3,3,3,3,4,4,3
300,1,1,1,2,2,2,4,5,5,0,0,0,6,6,2
301,3,3,0,6,1,1,7,7,0,1,3,3,6,6,6
302,5,5,6,6,6,4,2,2,2,6,6,1,6,2,2
303,0,0,5,2,2,2,1,1,1,6,1,1,7,7,3
304,6,4,4,7,7,7,5,5,5,2,4,4,2,2,0
305,7,0,0,1,1,1,4,4,5,5,7,7,1,1,1
306,3,3,4,2,5,5,5,5,5,4,4,4,4,4,4
307,7,0,0,5,6,6,7,0,0,4,6,6,7,7,3
308,4,2,2,5,5,0,1,1,4,1,3,3,3,3,0
309,3,3,3,6,1,1,2,2,2,1,2,2,1,7,7
310,1,1,3,1,1,5,4,4,4,0,0,0,5,5,5
311,4,4,4,2,2,2,3,3,7,5,5,4,0,0,0
312,2,2,2,6,1,1,4,4,4,6,6,1,2,4,4
313,4,4,4,2,5,5,1,1,1,4,6,6,3,4,4
314,2,2,7,5,5,5,0,2,2,4,4,4,0,5,5
315,7,7,0,2,5,5,0,0,0,2,2,4,2,2,4
316,3,4,4,1,7,7,6,6,5,3,0,0,6,6,2
317,5,6,6,5,5,0,1,1,4,6,1,1,6,6,1
318,7,7,7,2,2,5,1,1,1,6,1,1,5,5,5
319,4,1,1,6,6,4,7,7,7,4,6,6,3,3,3
320,6,6,4,6,6,4,6,6,6,6,0,0,3,3,3
321,4,4,1,1,1,7,2,2,2,0,0,2,4,4,3
322,0,3,3,4,4,4,3,3,3,1,1,3,1,1,7
323,1,1,1,5,5,5,1,4,4,3,3,3,0,0,1
324,2,2,2,6,4,4,2,2,2,4,4,4,2,2,0
325,0,5,5,4,4,4,0,0,0,1,3,3,7,7,7
326,6,6,4,1,1,5,0,3,3,0,0,0,0,0,0
327,3,4,4,1,1,5,3,7,7,0,0,0,1,7,7
328,0,0,5,7,0,0,5,0,0,7,7,7,1,7,7
329,0,3,3,6,6,4,4,4,5,4,4,6,2,2,4
330,4,4,1,2,5,5,5,0,0,4,4,4,5,5,5
331,6,6,6,6,6,6,0,0,3,5,5,4,6,6,1
332,7,7,7,2,2,2,3,3,7,3,3,0,0,5,5
333,4,4,4,5,5,0,1,1,1,6,1,1,6,1,1
334,7,7,7,5,5,6,2,2,2,3,3,5,5,5,5
335,3,4,4,5,5,0,4,4,6,1,1,1,1,1,7
336,5,5,6,4,4,1,2,2,2,0,0,2,2,2,4
337,4,2,2,4,4,4,7,7,0,6,6,0,5,6,6
338,4,4,4,6,6,4,1,1,1,0,0,0,2,2,0
339,3,3,0,5,5,0,4,4,6,5,5,4,3,3,0
340,6,6,4,5,0,0,2,2,2,2,2,4,2,2,0
341,2,2,7,5,6,6,3,3,3,6,6,0,4,6,6
342,1,3,3,1,1,1,7,7,7,4,4,6,1,1,2
343,0,0,5,1,1,1,3,3,3,3,3,3,0,0,0
344,1,3,3,6,6,6,2,2,2,5,4,4,1,7,7
345,2,7,7,7,7,7,0,2,2,2,5,5,4,4,4
346,0,5,5,7,0,0,4,4,6,5,5,5,0,1,1
347,5,5,6,2,2,2,4,4,5,6,6,1,3,4,4
348,1,1,3,0,0,0,7,0,0,7,3,3,6,1,1
349,7,7,7,2,2,5,5,1,1,4,4,4,0,0,5
350,0,0,3,2,2,2,6,6,6,2,2,4,2,2,0
351,4,2,2,3,3,6,7,7,0,3,3,0,2,0,0
352,3,3,0,3,6,6,3,3,3,3,3,3,6,6,2
353,2,2,7,0,0,3,1,4,4,1,1,1,2,2,4
354,1,1,1,3,3,3,5,5,0,0,0,2,2,2,2
355,7,7,7,5,5,0,5,5,5,2,4,4,7,7,3
356,5,6,6,1,7,7,4,4,6,0,0,0,6,2,2
357,3,3,3,5,5,5,6,6,6,0,0,2,3,3,0
358,5,5,5,4,4,4,0,0,0,6,6,1,4,6,6
359,1,1,1,6,4,4,3,3,3,5,4,4,6,6,2
360,4,1,1,0,0,2,4,6,6,7,3,3,2,2,2
361,7,7,0,3,3,3,2,2,4,2,2,4,4,6,6
362,5,5,5,5,5,5,0,0,2,7,3,3,7,7,7
363,7,7,7,5,5,0,0,2,2,4,4,6,1,1,1
364,7,7,7,4,1,1,1,1,1,2,2,4,4,4,4
365,1,3,3,1,5,5,6,6,6,2,4,4,1,1,7
366,1,1,3,3,3,3,6,6,5,5,5,7,6,1,1
367,0,0,3,5,5,5,5,5,1,3,3,5,2,2,0
368,4,4,1,1,7,7,3,3,7,1,2,2,1,1,7
369,4,4,2,1,1,7,5,5,5,3,3,3,1,1,7
370,4,4,4,2,2,5,3,3,3,3,3,5,3,3,0
371,0,0,0,0,0,2,4,4,5,0,2,2,1,2,2
372,2,2,7,3,3,3,4,4,6,3,0,0,0,0,0
373,1,1,3,4,1,1,2,2,2,3,3,0,3,3,3
374,1,3,3,5,5,0,1,4,4,0,1,1,4,4,6
375,6,6,6,6,6,4,1,4,4,7,7,7,6,6,2
376,1,1,1,1,1,5,2,4,4,5,4,4,4,4,6
377,3,0,0,7,7,7,7,7,7,2,2,4,3,4,4
378,3,3,4,4,4,4,7,7,0,2,2,2,6,2,2
379,3,3,4,6,6,1,4,4,5,2,4,4,2,2,4
380,7,7,7,4,4,4,1,1,4,1,3,3,0,0,0
381,4,1,1,1,5,5,7,7,7,5,7,7,6,6,1
382,1,3,3,3,3,3,4,6,6,5,5,5,7,7,7
383,4,1,1,5,5,6,3,3,3,4,4,6,5,5,5
384,6,4,4,2,5,5,4,4,6,0,2,2,5,5,6
385,7,7,0,4,4,1,3,3,7,5,5,5,0,0,1
386,5,5,6,7,7,0,3,3,3,6,6,0,3,3,3
387,5,5,5,4,4,4,5,1,1,0,0,2,3,3,4
388,0,3,3,2,2,2,3,7,7,6,6,6,3,4,4
389,7,7,7,6,4,4,7,0,0,7,7,3,2,0,0
390,2,7,7,4,4,4,0,0,3,2,2,4,3,3,3
391,4,2,2,7,0,0,3,7,7,3,5,5,6,6,1
392,0,5,5,7,7,0,6,6,6,3,5,5,0,0,1
393,7,0,0,5,5,0,4,4,4,2,5,5,4,4,4
394,6,6,6,7,0,0,6,5,5,3,3,5,4,3,3
395,2,2,7,1,1,5,5,5,5,2,2,2,0,1,1
396,4,4,1,6,6,1,5,5,0,5,4,4,1,7,7
397,6,4,4,6,6,6,2,2,2,0,0,2,7,3,3
398,7,7,7,2,2,5,6,6,6,1,1,1,6,6,2
399,5,5,5,6,6,1,7,7,7,5,7,7,2,2,0
400,7,7,7,0,2,2,2,4,4,2,2,4,4,4,4
401,7,7,0,7,0,0,6,5,5,4,4,4,0,0,0
402,0,0,0,0,3,3,4,4,5,7,7,3,4,4,4
403,2,2,7,6,6,6,6,6,5,1,1,3,1,2,2
404,4,1,1,0,0,0,6,6,6,4,6,6,6,6,6
405,7,7,0,2,2,2,5,5,5,3,3,0,0,0,1
406,7,7,0,0,3,3,1,1,4,3,3,3,3,3,4
407,0,3,3,6,4,4,1,1,1,4,6,6,0,1,1
408,0,0,0,1,1,5,3,3,3,2,5,5,7,3,3
409,2,7,7,5,5,6,6,6,5,3,3,5,2,0,0
410,5,5,6,6,6,6,2,2,2,1,1,1,6,6,1
411,3,3,3,7,7,7,1,1,4,3,3,3,0,0,1
412,0,0,3,5,0,0,5,5,1,3,3,0,1,7,7
413,4,1,1,0,0,0,2,2,2,2,2,4,4,4,3
414,4,4,2,2,5,5,3,3,3,3,3,3,6,1,1
415,2,2,2,5,5,5,7,0,0,3,3,0,7,7,7
