frame_index,icon_c0_r0,icon_c0_r1,icon_c0_r2,icon_c1_r0,icon_c1_r1,icon_c1_r2,icon_c2_r0,icon_c2_r1,icon_c2_r2,icon_c3_r0,icon_c3_r1,icon_c3_r2,icon_c4_r0,icon_c4_r1,icon_c4_r2
319,5,5,5,1,1,1,1,1,1,0,0,0,7,7,3
320,2,2,0,1,3,3,3,2,2,2,2,2,6,1,1
321,0,0,0,3,6,6,4,4,4,1,0,0,2,2,0
322,4,4,5,0,0,0,4,5,5,0,0,5,5,0,0
323,3,3,2,3,3,0,0,1,1,3,3,3,4,4,4
324,5,4,4,6,4,4,4,4,5,5,5,1,0,0,2
325,0,0,2,1,0,0,0,0,0,4,1,1,1,1,1
326,5,5,4,1,1,2,5,5,5,5,1,1,4,4,4
327,2,0,0,3,3,3,1,1,1,5,3,3,0,0,2
328,3,3,1,2,2,0,6,6,6,4,4,4,4,4,0
329,1,1,7,2,3,3,5,3,3,4,1,1,0,0,3
330,3,3,2,4,4,1,0,4,4,7,7,4,2,0,0
331,0,1,1,6,6,4,3,3,3,3,3,3,1,1,0
332,4,4,5,3,3,6,5,5,3,5,5,1,1,3,3
333,2,2,0,0,5,5,3,3,3,0,5,5,4,4,0
334,1,0,0,4,4,1,1,3,3,2,2,2,5,5,4
335,0,0,2,0,0,5,4,5,5,1,3,3,0,4,4
336,0,0,0,5,5,5,3,7,7,8,1,1,6,6,1
337,3,3,6,1,1,1,0,0,1,2,2,3,1,3,3
338,3,6,6,1,3,3,5,3,3,1,1,1,5,5,4
339,4,4,5,3,3,0,4,4,4,1,1,0,2,2,2
340,0,2,2,1,1,1,1,4,4,4,4,1,4,4,0
341,1,1,1,1,0,0,2,2,0,4,4,1,4,0,0
342,0,4,4,7,4,4,4,4,4,3,0,0,4,4,1
343,1,5,5,2,2,8,1,1,1,1,1,2,3,3,3
344,6,1,1,1,1,0,5,5,3,4,1,1,1,1,1
345,6,6,1,5,3,3,1,1,4,6,6,4,7,7,3
346,2,2,2,5,5,1,0,0,0,3,0,0,6,6,1
347,3,3,2,5,1,1,1,1,1,0,0,5,5,5,5
348,0,4,4,0,0,5,4,1,1,5,5,5,3,3,3
